Territorialidade,Posicao IDHM,IDHM,Posi  o IDHM Renda,IDHM Renda,Posi  o IDHM Educa  o,IDHM Educa  o,Posi  o IDHM Longevidade,IDHM Longevidade,Posi  o Mulheres,IDHM Mulheres,Posi  o Homens,IDHM Homens,Posi  o Negros,IDHM Negros,Posi  o Brancos,IDHM Brancos,Posi  o Urbano,IDHM Urbano,Posi  o Rural,IDHM Rural
Lagamar (MG),1362,0.718,1817,0.692,1248,0.637,1238,0.839,,,,,,,,,,,,
Fund o (ES),1362,0.718,1346,0.708,1535,0.623,1238,0.839,,,,,,,,,,,,
Paulist nia (SP),1362,0.718,2061,0.683,815,0.663,2307,0.817,,,,,,,,,,,,
Ibi  (MG),1362,0.718,692,0.736,2490,0.573,110,0.877,,,,,,,,,,,,
Campina Grande do Sul (PR),1362,0.718,1248,0.712,1857,0.605,425,0.86,,,,,,,,,,,,
Jaboti (PR),1362,0.718,1605,0.699,1193,0.64,1798,0.827,,,,,,,,,,,,
Cariacica (ES),1362,0.718,1605,0.699,1433,0.628,986,0.844,94,0.696,84,0.703,77,0.679,89,0.735,,,,
Dobrada (SP),1362,0.718,1858,0.691,945,0.655,2259,0.818,,,,,,,,,,,,
Nova Santa Rita (RS),1362,0.718,1136,0.716,1835,0.606,610,0.853,,,,,,,,,,,,
Tr s Cachoeiras (RS),1362,0.718,989,0.722,1835,0.606,846,0.847,,,,,,,,,,,,
Jacupiranga (SP),1398,0.717,1967,0.687,1112,0.644,1560,0.832,,,,,,,,,,,,
Mato Queimado (RS),1398,0.717,1516,0.702,1904,0.603,204,0.87,,,,,,,,,,,,
Paula Freitas (PR),1398,0.717,1605,0.699,1556,0.622,846,0.847,,,,,,,,,,,,
Viam o (RS),1398,0.717,1039,0.72,2133,0.591,276,0.866,110,0.613,109,0.595,110,0.542,111,0.614,,,,
Borraz polis (PR),1398,0.717,1741,0.695,1329,0.633,1281,0.838,,,,,,,,,,,,
Guaratuba (PR),1398,0.717,665,0.737,1880,0.604,1747,0.828,,,,,,,,,,,,
Getulina (SP),1398,0.717,1707,0.696,995,0.652,2504,0.813,,,,,,,,,,,,
S o Jos  do Herval (RS),1398,0.717,1547,0.701,1556,0.622,846,0.847,,,,,,,,,,,,
Paranacity (PR),1398,0.717,1915,0.689,1232,0.638,1238,0.839,,,,,,,,,,,,
Eldorado do Sul (RS),1398,0.717,1111,0.717,1782,0.609,986,0.844,,,,,,,,,,,,
Cruzeiro do Oeste (PR),1398,0.717,1649,0.698,1193,0.64,1905,0.825,,,,,,,,,,,,
S o Jos  do Alegre (MG),1398,0.717,2266,0.676,995,0.652,1315,0.837,,,,,,,,,,,,
Piranguinho (MG),1398,0.717,2375,0.672,1010,0.651,1128,0.841,,,,,,,,,,,,
Guatamb  (SC),1398,0.717,1136,0.716,1473,0.626,1987,0.823,,,,,,,,,,,,
Ponte Nova (MG),1398,0.717,1190,0.714,1802,0.608,792,0.848,,,,,,,,,,,,
Itobi (SP),1398,0.717,1678,0.697,1082,0.646,2161,0.82,,,,,,,,,,,,
Ocau u (SP),1398,0.717,2182,0.679,982,0.653,1647,0.83,,,,,,,,,,,,
Cidade Ocidental (GO),1398,0.717,1405,0.706,1176,0.641,2453,0.814,,,,,,,,,,,,
Engenho Velho (RS),1398,0.717,715,0.735,1744,0.611,2112,0.821,,,,,,,,,,,,
Nova Alian a do Iva  (PR),1398,0.717,2343,0.673,465,0.691,3362,0.794,,,,,,,,,,,,
Paranapanema (SP),1398,0.717,1678,0.697,1370,0.631,1238,0.839,,,,,,,,,,,,
Tigrinhos (SC),1398,0.717,1939,0.688,1329,0.633,901,0.846,,,,,,,,,,,,
Santa In s (PR),1398,0.717,2295,0.675,883,0.659,1798,0.827,,,,,,,,,,,,
Jaboat o dos Guararapes (PE),1398,0.717,1817,0.692,1157,0.642,1647,0.83,95,0.688,87,0.697,91,0.649,83,0.746,,,,
S o Pedro do Iva  (PR),1398,0.717,1516,0.702,1457,0.627,1370,0.836,,,,,,,,,,,,
Juatuba (MG),1398,0.717,2428,0.67,1032,0.649,759,0.849,,,,,,,,,,,,
Santo Ant nio da Patrulha (RS),1398,0.717,1091,0.718,2065,0.594,276,0.866,,,,,,,,,,,,
Campina do Monte Alegre (SP),1398,0.717,1967,0.687,1308,0.634,901,0.846,,,,,,,,,,,,
Fama (MG),1398,0.717,1576,0.7,1766,0.61,343,0.863,,,,,,,,,,,,
J lio Mesquita (SP),1427,0.716,2667,0.659,516,0.686,2504,0.813,,,,,,,,,,,,
Jacinto Machado (SC),1427,0.716,1346,0.708,1329,0.633,2259,0.818,,,,,,,,,,,,
Ernestina (RS),1427,0.716,1473,0.703,1727,0.612,581,0.854,,,,,,,,,,,,
Matup  (MT),1427,0.716,1405,0.706,1370,0.631,1951,0.824,,,,,,,,,,,,
Nova Prata do Igua u (PR),1427,0.716,1268,0.711,1082,0.646,3214,0.798,,,,,,,,,,,,
Ju na (MT),1427,0.716,765,0.733,2084,0.593,943,0.845,,,,,,,,,,,,
Paulo Lopes (SC),1427,0.716,1372,0.707,1957,0.6,303,0.865,,,,,,,,,,,,
J lio de Castilhos (RS),1427,0.716,765,0.733,1921,0.602,1515,0.833,,,,,,,,,,,,
Doutor Pedrinho (SC),1427,0.716,1190,0.714,1782,0.609,1032,0.843,,,,,,,,,,,,
Lu s Eduardo Magalh es (BA),1427,0.716,349,0.754,2157,0.59,1846,0.826,,,,,,,,,,,,
Ribeir o Claro (PR),1427,0.716,1449,0.704,1457,0.627,1560,0.832,,,,,,,,,,,,
Bela Vista do Para so (PR),1427,0.716,1008,0.721,1880,0.604,986,0.844,,,,,,,,,,,,
Torixor u (MT),1427,0.716,2035,0.684,768,0.666,2849,0.806,,,,,,,,,,,,
Santo Ant nio do Para so (PR),1427,0.716,2061,0.683,829,0.662,2504,0.813,,,,,,,,,,,,
Capit o Le nidas Marques (PR),1427,0.716,1248,0.712,1535,0.623,1704,0.829,,,,,,,,,,,,
F nix (PR),1427,0.716,2448,0.669,787,0.665,1905,0.825,,,,,,,,,,,,
Manoel Ribas (PR),1427,0.716,918,0.725,1433,0.628,2849,0.806,,,,,,,,,,,,
Goian  (MG),1427,0.716,2090,0.682,1112,0.644,1419,0.835,,,,,,,,,,,,
Pai andu (PR),1427,0.716,1678,0.697,1350,0.632,1515,0.833,,,,,,,,,,,,
Davin polis (GO),1427,0.716,1516,0.702,1835,0.606,372,0.862,,,,,,,,,,,,
Diamantina (MG),1427,0.716,1797,0.693,1350,0.632,1238,0.839,,,,,,,,,,,,
Bela Vista de Goi s (GO),1427,0.716,1008,0.721,1822,0.607,1315,0.837,,,,,,,,,,,,
Petrol ndia (SC),1427,0.716,596,0.74,1633,0.618,3026,0.802,,,,,,,,,,,,
Campos dos Goytacazes (RJ),1427,0.716,1166,0.715,1615,0.619,1647,0.83,15,0.902,43,0.758,15,0.826,23,0.847,,,,
Taquaral de Goi s (GO),1427,0.716,1576,0.7,1615,0.619,901,0.846,,,,,,,,,,,,
Balne rio Barra do Sul (SC),1427,0.716,1217,0.713,1744,0.611,986,0.844,,,,,,,,,,,,
Piedade (SP),1427,0.716,1768,0.694,1517,0.624,792,0.848,,,,,,,,,,,,
Santa Luzia (MG),1454,0.715,2090,0.682,1492,0.625,451,0.859,,,,,,,,,,,,
Arvoredo (SC),1454,0.715,1217,0.713,1766,0.61,1075,0.842,,,,,,,,,,,,
Morungaba (SP),1454,0.715,897,0.726,1457,0.627,3026,0.802,,,,,,,,,,,,
Formosa do Sul (SC),1454,0.715,848,0.728,2084,0.593,943,0.845,,,,,,,,,,,,
Fl rida Paulista (SP),1454,0.715,1516,0.702,1082,0.646,2805,0.807,,,,,,,,,,,,
Niquel ndia (GO),1454,0.715,1318,0.709,1193,0.64,2849,0.806,,,,,,,,,,,,
Rio Brilhante (MS),1454,0.715,1039,0.72,2157,0.59,390,0.861,,,,,,,,,,,,
Machado (MG),1454,0.715,1069,0.719,1957,0.6,792,0.848,,,,,,,,,,,,
Putinga (RS),1454,0.715,517,0.745,2707,0.563,147,0.873,,,,,,,,,,,,
Itagua  (RJ),1454,0.715,1473,0.703,1232,0.638,2453,0.814,,,,,,,,,,,,
Agua  (SP),1454,0.715,1473,0.703,1835,0.606,473,0.858,,,,,,,,,,,,
Formoso (GO),1454,0.715,1996,0.686,1209,0.639,1464,0.834,,,,,,,,,,,,
Palmares do Sul (RS),1454,0.715,918,0.725,2111,0.592,643,0.852,,,,,,,,,,,,
Nova Serrana (MG),1454,0.715,1318,0.709,2014,0.597,319,0.864,,,,,,,,,,,,
Pedregulho (SP),1454,0.715,1136,0.716,1535,0.623,2161,0.82,,,,,,,,,,,,
Pinheiral (RJ),1454,0.715,1318,0.709,1133,0.643,3077,0.801,,,,,,,,,,,,
Santa Carmem (MT),1454,0.715,1473,0.703,1433,0.628,1798,0.827,,,,,,,,,,,,
Farol (PR),1454,0.715,2405,0.671,787,0.665,2259,0.818,,,,,,,,,,,,
Jaguapit  (PR),1454,0.715,1190,0.714,1687,0.615,1464,0.834,,,,,,,,,,,,
Passa Quatro (MG),1454,0.715,2061,0.683,1535,0.623,425,0.86,,,,,,,,,,,,
Queiroz (SP),1454,0.715,2613,0.662,573,0.681,2611,0.811,,,,,,,,,,,,
Orizona (GO),1454,0.715,989,0.722,1727,0.612,1798,0.827,,,,,,,,,,,,
Pouso Novo (RS),1454,0.715,232,0.765,2654,0.566,943,0.845,,,,,,,,,,,,
Paragua u (MG),1454,0.715,1890,0.69,1535,0.623,722,0.85,,,,,,,,,,,,
S o Gon alo do Sapuca  (MG),1454,0.715,1405,0.706,1782,0.609,722,0.85,,,,,,,,,,,,
S o Sebasti o da Amoreira (PR),1454,0.715,1915,0.689,1010,0.651,2453,0.814,,,,,,,,,,,,
Nova Cana  Paulista (SP),1454,0.715,2343,0.673,648,0.675,2849,0.806,,,,,,,,,,,,
Sever nia (SP),1454,0.715,1318,0.709,1232,0.638,2805,0.807,,,,,,,,,,,,
Quinta do Sol (PR),1454,0.715,1915,0.689,1370,0.631,1075,0.842,,,,,,,,,,,,
S o Vicente de Minas (MG),1454,0.715,2343,0.673,1112,0.644,943,0.845,,,,,,,,,,,,
Parauapebas (PA),1454,0.715,1547,0.701,1112,0.644,2696,0.809,,,,,,,,,,,,
Jacutinga (MG),1454,0.715,989,0.722,2233,0.586,319,0.864,,,,,,,,,,,,
Morma o (RS),1486,0.714,715,0.735,2427,0.576,425,0.86,,,,,,,,,,,,
Quatigu  (PR),1486,0.714,1858,0.691,945,0.655,2990,0.803,,,,,,,,,,,,
Ijaci (MG),1486,0.714,2592,0.663,966,0.654,1183,0.84,,,,,,,,,,,,
Ava  (SP),1486,0.714,2318,0.674,1020,0.65,1647,0.83,,,,,,,,,,,,
Torre de Pedra (SP),1486,0.714,2182,0.679,1068,0.647,1704,0.829,,,,,,,,,,,,
Populina (SP),1486,0.714,1605,0.699,1068,0.647,2940,0.804,,,,,,,,,,,,
Sobral (CE),1486,0.714,2883,0.647,648,0.675,1560,0.832,,,,,,,,,,,,
Terra Roxa (PR),1486,0.714,1678,0.697,1209,0.639,2259,0.818,,,,,,,,,,,,
Juscimeira (MT),1486,0.714,2212,0.678,1248,0.637,1075,0.842,,,,,,,,,,,,
Campo Alegre (SC),1486,0.714,2230,0.677,1271,0.636,943,0.845,,,,,,,,,,,,
Nova Esperan a do Sudoeste (PR),1486,0.714,1190,0.714,1329,0.633,2899,0.805,,,,,,,,,,,,
Nantes (SP),1486,0.714,2747,0.655,331,0.702,3511,0.79,,,,,,,,,,,,
Alta Floresta (MT),1486,0.714,1318,0.709,1416,0.629,2307,0.817,,,,,,,,,,,,
Anicuns (GO),1486,0.714,1741,0.695,1457,0.627,1464,0.834,,,,,,,,,,,,
Itaquaquecetuba (SP),1486,0.714,2535,0.665,1050,0.648,986,0.844,9,0.908,25,0.782,7,0.84,16,0.856,,,,
Catanduvas (SC),1486,0.714,961,0.723,1492,0.625,2849,0.806,,,,,,,,,,,,
Riqueza (SC),1486,0.714,1516,0.702,1517,0.624,1647,0.83,,,,,,,,,,,,
Vassouras (RJ),1486,0.714,1069,0.719,1517,0.624,2504,0.813,,,,,,,,,,,,
F tima do Sul (MS),1486,0.714,1069,0.719,1577,0.621,2407,0.815,,,,,,,,,,,,
Santo Ant nio do Jardim (SP),1486,0.714,1473,0.703,1593,0.62,1419,0.835,,,,,,,,,,,,
Ji-Paran  (RO),1486,0.714,848,0.728,1649,0.617,2661,0.81,,,,,,,,,,,,
Santa Rita do Araguaia (GO),1486,0.714,1473,0.703,1670,0.616,1075,0.842,,,,,,,,,,,,
Laranjal (MG),1486,0.714,1768,0.694,1712,0.613,501,0.857,,,,,,,,,,,,
Rio Pomba (MG),1486,0.714,1768,0.694,1782,0.609,343,0.863,,,,,,,,,,,,
Santa Teresa (ES),1486,0.714,989,0.722,1880,0.604,1464,0.834,,,,,,,,,,,,
Nova Santa Helena (MT),1486,0.714,517,0.745,1904,0.603,2696,0.809,,,,,,,,,,,,
Tapurah (MT),1486,0.714,639,0.738,2065,0.594,1603,0.831,,,,,,,,,,,,
Glorinha (RS),1486,0.714,1136,0.716,2084,0.593,451,0.859,,,,,,,,,,,,
Carapebus (RJ),1514,0.713,1605,0.699,1112,0.644,2899,0.805,,,,,,,,,,,,
Col der (MT),1514,0.713,784,0.732,1880,0.604,2216,0.819,,,,,,,,,,,,
 guas de Chapec  (SC),1514,0.713,1248,0.712,1416,0.629,2611,0.811,,,,,,,,,,,,
Palestina de Goi s (GO),1514,0.713,2732,0.656,870,0.66,1315,0.837,,,,,,,,,,,,
Porto Real (RJ),1514,0.713,1939,0.688,1097,0.645,2307,0.817,,,,,,,,,,,,
Curvelo (MG),1514,0.713,1915,0.689,1649,0.617,702,0.851,,,,,,,,,,,,
Alto Para so de Goi s (GO),1514,0.713,961,0.723,1744,0.611,2216,0.819,,,,,,,,,,,,
Nipo  (SP),1514,0.713,1547,0.701,1271,0.636,2453,0.814,,,,,,,,,,,,
Guarant  (SP),1514,0.713,1649,0.698,1535,0.623,1560,0.832,,,,,,,,,,,,
Itaocara (RJ),1514,0.713,1707,0.696,1295,0.635,2161,0.82,,,,,,,,,,,,
Cruzeiro do Sul (PR),1514,0.713,2090,0.682,1176,0.641,1747,0.828,,,,,,,,,,,,
Presidente Castelo Branco (PR),1514,0.713,1741,0.695,1802,0.608,501,0.857,,,,,,,,,,,,
Miracema (RJ),1514,0.713,1707,0.696,1082,0.646,2899,0.805,,,,,,,,,,,,
Canudos do Vale (RS),1514,0.713,398,0.751,2475,0.574,1183,0.84,,,,,,,,,,,,
Port o (RS),1514,0.713,918,0.725,2266,0.584,527,0.856,,,,,,,,,,,,
S o Jos  das Palmeiras (PR),1514,0.713,1996,0.686,1457,0.627,986,0.844,,,,,,,,,,,,
Imbuia (SC),1514,0.713,1136,0.716,1921,0.602,1183,0.84,,,,,,,,,,,,
Irapu  (SP),1514,0.713,1939,0.688,1517,0.624,986,0.844,,,,,,,,,,,,
Bom Jesus dos Perd es (SP),1514,0.713,1136,0.716,1370,0.631,3026,0.802,,,,,,,,,,,,
Serop dica (RJ),1514,0.713,1741,0.695,1050,0.648,2899,0.805,,,,,,,,,,,,
Perobal (PR),1514,0.713,2035,0.684,1232,0.638,1647,0.83,,,,,,,,,,,,
Flor nia (SP),1514,0.713,2212,0.678,995,0.652,2161,0.82,,,,,,,,,,,,
Ita  (SP),1514,0.713,1817,0.692,1395,0.63,1647,0.83,,,,,,,,,,,,
Cajuru (SP),1514,0.713,1797,0.693,1329,0.633,1905,0.825,,,,,,,,,,,,
Rondon (PR),1514,0.713,937,0.724,1766,0.61,2161,0.82,,,,,,,,,,,,
Itaqui (RS),1514,0.713,1967,0.687,1473,0.626,1032,0.843,,,,,,,,,,,,
Carmo do Rio Verde (GO),1514,0.713,2230,0.677,1032,0.649,1951,0.824,,,,,,,,,,,,
Carl polis (PR),1514,0.713,1707,0.696,1492,0.625,1560,0.832,,,,,,,,,,,,
Crato (CE),1514,0.713,2747,0.655,686,0.673,2064,0.822,,,,,,,,,,,,
Santa F  de Goi s (GO),1514,0.713,1473,0.703,1802,0.608,846,0.847,,,,,,,,,,,,
Nova Igua u (RJ),1514,0.713,1858,0.691,1176,0.641,2259,0.818,101,0.671,103,0.647,96,0.614,101,0.705,,,,
Itapecerica (MG),1514,0.713,1817,0.692,1633,0.618,901,0.846,,,,,,,,,,,,
Jaguari (RS),1546,0.712,739,0.734,2633,0.567,276,0.866,,,,,,,,,,,,
Planura (MG),1546,0.712,1268,0.711,2014,0.597,643,0.852,,,,,,,,,,,,
Erebango (RS),1546,0.712,1915,0.689,1473,0.626,1315,0.837,,,,,,,,,,,,
Jardim (MS),1546,0.712,1091,0.718,2045,0.595,943,0.845,,,,,,,,,,,,
Ribeir o Bonito (SP),1546,0.712,1248,0.712,1492,0.625,2611,0.811,,,,,,,,,,,,
Alambari (SP),1546,0.712,2090,0.682,898,0.658,2899,0.805,,,,,,,,,,,,
Eug nio de Castro (RS),1546,0.712,1678,0.697,2266,0.584,40,0.885,,,,,,,,,,,,
S o Pedro da Aldeia (RJ),1546,0.712,1008,0.721,1473,0.626,3077,0.801,,,,,,,,,,,,
Biritiba-Mirim (SP),1546,0.712,1293,0.71,1193,0.64,3329,0.795,,,,,,,,,,,,
Uru (SP),1546,0.712,2212,0.678,1209,0.639,1560,0.832,,,,,,,,,,,,
Congonhal (MG),1546,0.712,2119,0.681,1473,0.626,846,0.847,,,,,,,,,,,,
Japur  (PR),1546,0.712,1649,0.698,1535,0.623,1704,0.829,,,,,,,,,,,,
Feira de Santana (BA),1546,0.712,1293,0.71,1615,0.619,2161,0.82,88,0.708,81,0.712,81,0.671,45,0.809,,,,
Morro Agudo (SP),1546,0.712,1136,0.716,1880,0.604,1370,0.836,,,,,,,,,,,,
Vian polis (GO),1546,0.712,1293,0.71,1556,0.622,2259,0.818,,,,,,,,,,,,
Sede Nova (RS),1546,0.712,398,0.751,3137,0.543,22,0.886,,,,,,,,,,,,
Irapuru (SP),1546,0.712,1858,0.691,1556,0.622,1238,0.839,,,,,,,,,,,,
Ven ncio Aires (RS),1546,0.712,692,0.736,1957,0.6,2259,0.818,,,,,,,,,,,,
Concei  o de Macabu (RJ),1546,0.712,1649,0.698,1157,0.642,2849,0.806,,,,,,,,,,,,
Santa Vit ria do Palmar (RS),1546,0.712,1318,0.709,2133,0.591,390,0.861,,,,,,,,,,,,
Petrolina de Goi s (GO),1546,0.712,2318,0.674,1133,0.643,1464,0.834,,,,,,,,,,,,
Concei  o das Alagoas (MG),1546,0.712,739,0.734,2557,0.57,372,0.862,,,,,,,,,,,,
Nova Ven cia (ES),1546,0.712,1817,0.692,1577,0.621,1128,0.841,,,,,,,,,,,,
Bom Jesus do Oeste (SC),1546,0.712,918,0.725,1945,0.601,1647,0.83,,,,,,,,,,,,
Lindolfo Collor (RS),1546,0.712,1248,0.712,1945,0.601,1075,0.842,,,,,,,,,,,,
Crissiumal (RS),1546,0.712,1516,0.702,1670,0.616,1419,0.835,,,,,,,,,,,,
Itabuna (BA),1546,0.712,1741,0.695,1133,0.643,2805,0.807,,,,,,,,,,,,
Tapira (MG),1546,0.712,297,0.759,2757,0.561,846,0.847,,,,,,,,,,,,
Alcin polis (MS),1574,0.711,765,0.733,2509,0.572,473,0.858,,,,,,,,,,,,
Piquerobi (SP),1574,0.711,2448,0.669,1112,0.644,1370,0.836,,,,,,,,,,,,
Igarat  (SP),1574,0.711,2061,0.683,1670,0.616,551,0.855,,,,,,,,,,,,
Bar o de Antonina (SP),1574,0.711,2266,0.676,1032,0.649,2161,0.82,,,,,,,,,,,,
Vicentina (MS),1574,0.711,1915,0.689,1473,0.626,1419,0.835,,,,,,,,,,,,
Duque de Caxias (RJ),1574,0.711,1817,0.692,1517,0.624,1515,0.833,107,0.652,106,0.63,102,0.601,105,0.686,,,,
Medeiros (MG),1574,0.711,989,0.722,2266,0.584,702,0.851,,,,,,,,,,,,
Lambari (MG),1574,0.711,1797,0.693,2035,0.596,181,0.871,,,,,,,,,,,,
Varj o de Minas (MG),1574,0.711,2343,0.673,1370,0.631,846,0.847,,,,,,,,,,,,
Paranaiguara (GO),1574,0.711,1516,0.702,1712,0.613,1370,0.836,,,,,,,,,,,,
Ribeir o Corrente (SP),1574,0.711,1939,0.688,1157,0.642,2453,0.814,,,,,,,,,,,,
Campo Belo (MG),1574,0.711,1405,0.706,2233,0.586,238,0.868,,,,,,,,,,,,
Rio Novo do Sul (ES),1574,0.711,1817,0.692,1593,0.62,1315,0.837,,,,,,,,,,,,
Missal (PR),1574,0.711,1190,0.714,1802,0.608,1747,0.828,,,,,,,,,,,,
Sapiranga (RS),1574,0.711,989,0.722,1995,0.598,1560,0.832,,,,,,,,,,,,
Cezarina (GO),1574,0.711,2035,0.684,995,0.652,2805,0.807,,,,,,,,,,,,
Morrinhos do Sul (RS),1574,0.711,1039,0.72,2084,0.593,1075,0.842,,,,,,,,,,,,
Jaborandi (SP),1574,0.711,2182,0.679,1457,0.627,943,0.845,,,,,,,,,,,,
Israel ndia (GO),1574,0.711,2562,0.664,995,0.652,1603,0.831,,,,,,,,,,,,
Paulic ia (SP),1574,0.711,1817,0.692,1193,0.64,2611,0.811,,,,,,,,,,,,
Chiador (MG),1574,0.711,565,0.742,2798,0.559,238,0.868,,,,,,,,,,,,
Caic  (RN),1595,0.71,1473,0.703,1615,0.619,1951,0.824,,,,,,,,,,,,
Tr s Coroas (RS),1595,0.71,596,0.74,2266,0.584,1704,0.829,,,,,,,,,,,,
Ibaiti (PR),1595,0.71,639,0.738,2035,0.596,2504,0.813,,,,,,,,,,,,
Leandro Ferreira (MG),1595,0.71,1372,0.707,2352,0.579,128,0.875,,,,,,,,,,,,
Novo Itacolomi (PR),1595,0.71,2119,0.681,1329,0.633,1603,0.831,,,,,,,,,,,,
Lupion polis (PR),1595,0.71,1473,0.703,2045,0.595,527,0.856,,,,,,,,,,,,
Santa Cruz de Monte Castelo (PR),1595,0.71,2119,0.681,1329,0.633,1603,0.831,,,,,,,,,,,,
Lima Duarte (MG),1595,0.71,1424,0.705,2157,0.59,390,0.861,,,,,,,,,,,,
Naz rio (GO),1595,0.71,1516,0.702,1370,0.631,2754,0.808,,,,,,,,,,,,
Limeira do Oeste (MG),1595,0.71,1797,0.693,1593,0.62,1464,0.834,,,,,,,,,,,,
Pinheirinho do Vale (RS),1595,0.71,1217,0.713,1822,0.607,1747,0.828,,,,,,,,,,,,
Itanhang  (MT),1595,0.71,1605,0.699,2014,0.597,527,0.856,,,,,,,,,,,,
Rio Bonito (RJ),1595,0.71,1424,0.705,1593,0.62,2216,0.819,,,,,,,,,,,,
Timburi (SP),1595,0.71,1939,0.688,1416,0.629,1846,0.826,,,,,,,,,,,,
Col mbia (SP),1595,0.71,1915,0.689,1068,0.647,3026,0.802,,,,,,,,,,,,
Capit lio (MG),1595,0.71,1318,0.709,1727,0.612,1905,0.825,,,,,,,,,,,,
Apia  (SP),1595,0.71,2613,0.662,1068,0.647,1419,0.835,,,,,,,,,,,,
Brejo Alegre (SP),1595,0.71,1516,0.702,1633,0.618,1846,0.826,,,,,,,,,,,,
Prado Ferreira (PR),1595,0.71,1372,0.707,2084,0.593,643,0.852,,,,,,,,,,,,
Terra Rica (PR),1595,0.71,1649,0.698,1712,0.613,1315,0.837,,,,,,,,,,,,
Taia u (SP),1595,0.71,1547,0.701,1433,0.628,2453,0.814,,,,,,,,,,,,
Nova Ol mpia (PR),1595,0.71,1605,0.699,1370,0.631,2504,0.813,,,,,,,,,,,,
Gl ria D'Oeste (MT),1595,0.71,2035,0.684,1271,0.636,1987,0.823,,,,,,,,,,,,
Cachoeira Alta (GO),1595,0.71,415,0.75,2578,0.569,1183,0.84,,,,,,,,,,,,
Estrela Dalva (MG),1595,0.71,1069,0.719,2475,0.574,257,0.867,,,,,,,,,,,,
Monteiro Lobato (SP),1595,0.71,1817,0.692,1457,0.627,1846,0.826,,,,,,,,,,,,
Paulo Bento (RS),1595,0.71,817,0.73,2531,0.571,473,0.858,,,,,,,,,,,,
S o Miguel Arcanjo (SP),1595,0.71,1346,0.708,1329,0.633,3167,0.799,,,,,,,,,,,,
Pimenta Bueno (RO),1595,0.71,897,0.726,1712,0.613,2990,0.803,,,,,,,,,,,,
Carmo do Cajuru (MG),1595,0.71,1741,0.695,1857,0.605,610,0.853,,,,,,,,,,,,
Buriti Alegre (GO),1595,0.71,1576,0.7,1703,0.614,1603,0.831,,,,,,,,,,,,
Barrac o (RS),1595,0.71,1268,0.711,2600,0.568,40,0.885,,,,,,,,,,,,
Pouso Alto (MG),1595,0.71,692,0.736,2490,0.573,846,0.847,,,,,,,,,,,,
Marechal Floriano (ES),1595,0.71,1166,0.715,2174,0.589,759,0.849,,,,,,,,,,,,
Ibi na (SP),1595,0.71,1576,0.7,1703,0.614,1560,0.832,,,,,,,,,,,,
Witmarsum (SC),1595,0.71,621,0.739,2844,0.557,204,0.87,,,,,,,,,,,,
Pitangueiras (PR),1595,0.71,2428,0.67,1308,0.634,1075,0.842,,,,,,,,,,,,
Alfredo Chaves (ES),1595,0.71,1473,0.703,1744,0.611,1560,0.832,,,,,,,,,,,,
Santa Vit ria (MG),1595,0.71,1091,0.718,2427,0.576,303,0.865,,,,,,,,,,,,
Monte Santo de Minas (MG),1595,0.71,1915,0.689,2045,0.595,135,0.874,,,,,,,,,,,,
S o Miguel da Boa Vista (SC),1595,0.71,765,0.733,1687,0.615,3329,0.795,,,,,,,,,,,,
Bataguassu (MS),1595,0.71,1649,0.698,1835,0.606,846,0.847,,,,,,,,,,,,
Quarto Centen rio (PR),1595,0.71,937,0.724,1904,0.603,2216,0.819,,,,,,,,,,,,
Tagua  (SP),1638,0.709,1890,0.69,1370,0.631,2259,0.818,,,,,,,,,,,,
Pirapetinga (MG),1638,0.709,2149,0.68,1517,0.624,1128,0.841,,,,,,,,,,,,
Silv nia (GO),1638,0.709,1008,0.721,1835,0.606,2453,0.814,,,,,,,,,,,,
Sandovalina (SP),1638,0.709,2535,0.665,883,0.659,2562,0.812,,,,,,,,,,,,
Paranapoema (PR),1638,0.709,2149,0.68,1416,0.629,1464,0.834,,,,,,,,,,,,
Saquarema (RJ),1638,0.709,1190,0.714,1577,0.621,2940,0.804,,,,,,,,,,,,
Goi s (GO),1638,0.709,1217,0.713,1577,0.621,2899,0.805,,,,,,,,,,,,
Amp re (PR),1638,0.709,1605,0.699,1593,0.62,1951,0.824,,,,,,,,,,,,
Visconde do Rio Branco (MG),1638,0.709,1318,0.709,2133,0.591,722,0.85,,,,,,,,,,,,
Nossa Senhora das Gra as (PR),1638,0.709,2182,0.679,1370,0.631,1560,0.832,,,,,,,,,,,,
S o Pedro do Sul (RS),1638,0.709,1649,0.698,1615,0.619,1951,0.824,,,,,,,,,,,,
Cl udio (MG),1638,0.709,1547,0.701,1921,0.602,901,0.846,,,,,,,,,,,,
Serra do Navio (AP),1638,0.709,2667,0.659,450,0.692,3690,0.783,,,,,,,,,,,,
Juquitiba (SP),1638,0.709,2149,0.68,829,0.662,3475,0.791,,,,,,,,,,,,
Rio Parana ba (MG),1638,0.709,918,0.725,2457,0.575,551,0.855,,,,,,,,,,,,
Ouro Verde do Oeste (PR),1638,0.709,1939,0.688,1308,0.634,2307,0.817,,,,,,,,,,,,
G lia (SP),1638,0.709,2035,0.684,1308,0.634,1987,0.823,,,,,,,,,,,,
Cantagalo (RJ),1638,0.709,1424,0.705,1703,0.614,2064,0.822,,,,,,,,,,,,
Campanha (MG),1638,0.709,1166,0.715,2210,0.587,759,0.849,,,,,,,,,,,,
Cruzeiro do Igua u (PR),1638,0.709,1473,0.703,1176,0.641,3428,0.792,,,,,,,,,,,,
